Time,Effective Wavelength,flux
6111.423699999999,7980.0,2.6063506167393443e-16
6111.423699999999,12200.0,1.0530772663065095e-16
6111.423699999999,16300.0,2.88451316909035e-16
6111.423699999999,21900.0,8.615665182219618e-16
6112.423699999999,2120.0,1.9257636605907236e-15
6112.423699999999,2310.0,1.6024088077122745e-15
6112.423699999999,2910.0,1.0224564378466607e-15
6112.423699999999,3663.0,7.630274593288742e-16
6112.423699999999,4361.0,6.69292929317707e-16
6112.423699999999,5448.0,4.460885009623141e-16
6112.423699999999,6407.0,2.1667192531570408e-16
6112.423699999999,7980.0,2.559109124997646e-16
6112.423699999999,12200.0,1.0503288650506404e-16
6112.423699999999,16300.0,2.862144649703499e-16
6112.423699999999,21900.0,8.569370549040378e-16
6113.423699999999,2120.0,1.9293107470909745e-15
6113.423699999999,2310.0,1.6055088773646249e-15
6113.423699999999,2910.0,1.0239192680122942e-15
6113.423699999999,3663.0,7.595977064346525e-16
6113.423699999999,4361.0,6.615016891274852e-16
6113.423699999999,5448.0,4.3974459844171127e-16
6113.423699999999,6407.0,2.1674719725138088e-16
6113.423699999999,7980.0,2.5163799858083415e-16
6113.423699999999,12200.0,1.0474792620637088e-16
6113.423699999999,16300.0,2.8400723281289804e-16
6113.423699999999,21900.0,8.523487342102993e-16
6114.423699999999,2120.0,1.9327181197674335e-15
6114.423699999999,2310.0,1.608458191961238e-15
6114.423699999999,2910.0,1.0251934708525628e-15
6114.423699999999,3663.0,7.560887448861383e-16
6114.423699999999,4361.0,6.536645274693401e-16
6114.423699999999,5448.0,4.336202107230433e-16
6114.423699999999,6407.0,2.1636264893819948e-16
6114.423699999999,7980.0,2.477088921075504e-16
6114.423699999999,12200.0,1.0445319447377913e-16
6114.423699999999,16300.0,2.8182911839691365e-16
6114.423699999999,21900.0,8.4780120004487965e-16
6115.423699999999,2120.0,1.9359852281487665e-15
6115.423699999999,2310.0,1.6112571103296285e-15
6115.423699999999,2910.0,1.0262844110523385e-15
6115.423699999999,3663.0,7.525109678994846e-16
6115.423699999999,4361.0,6.458613231289757e-16
6115.423699999999,5448.0,4.2772912209209005e-16
6115.423699999999,6407.0,2.1561595876021874e-16
6115.423699999999,7980.0,2.4406073370246174e-16
6115.423699999999,12200.0,1.041490296257892e-16
6115.423699999999,16300.0,2.7967962961401757e-16
6115.423699999999,21900.0,8.432940994402893e-16
6116.423699999999,2120.0,1.939111764044809e-15
6116.423699999999,2310.0,1.6139062331653792e-15
6116.423699999999,2910.0,1.0271975254588984e-15
6116.423699999999,3663.0,7.488735890118868e-16
6116.423699999999,4361.0,6.381370689353532e-16
6116.423699999999,5448.0,4.2207751113912447e-16
6116.423699999999,6407.0,2.1457024186854442e-16
6116.423699999999,7980.0,2.4065299093340007e-16
6116.423699999999,12200.0,1.0383575998250642e-16
6116.423699999999,16300.0,2.775582841090203e-16
6116.423699999999,21900.0,8.388270825362398e-16
6117.423699999999,2120.0,1.942097650932444e-15
6117.423699999999,2310.0,1.616406388600714e-15
6117.423699999999,2910.0,1.0279382974592968e-15
6117.423699999999,3663.0,7.451847634580551e-16
6117.423699999999,4361.0,6.305177454199623e-16
6117.423699999999,5448.0,4.1666773716358345e-16
6117.423699999999,6407.0,2.13269061716851e-16
6117.423699999999,7980.0,2.3745785692589963e-16
6117.423699999999,12200.0,1.0351370426297658e-16
6117.423699999999,16300.0,2.7546460910837207e-16
6117.423699999999,21900.0,8.343998025667595e-16
6118.423699999999,2120.0,1.944943033240317e-15
6118.423699999999,2310.0,1.6187586179334047e-15
6118.423699999999,2910.0,1.0285122338069165e-15
6118.423699999999,3663.0,7.414517072442458e-16
6118.423699999999,4361.0,6.230181473284197e-16
6118.423699999999,5448.0,4.1150023593993407e-16
6118.423699999999,6407.0,2.1174387721373025e-16
6118.423699999999,7980.0,2.3445550328503635e-16
6118.423699999999,12200.0,1.0318317195771259e-16
6118.423699999999,16300.0,2.7339814124943237e-16
6118.423699999999,21900.0,8.300119158370658e-16
6119.423699999999,2120.0,1.9476482655870095e-15
6119.423699999999,2310.0,1.6209641615846658e-15
6119.423699999999,2910.0,1.0289248437842207e-15
6119.423699999999,3663.0,7.376808109994178e-16
6119.423699999999,4361.0,6.156461204498595e-16
6119.423699999999,5448.0,4.065745824596518e-16
6119.423699999999,6407.0,2.100181027707328e-16
6119.423699999999,7980.0,2.3163150916016483e-16
6119.423699999999,12200.0,1.0284446368079534e-16
6119.423699999999,16300.0,2.713584264119665e-16
6119.423699999999,21900.0,8.256630817072824e-16
6120.423699999999,2120.0,1.950213902011849e-15
6120.423699999999,2310.0,1.623024445335588e-15
